config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""benchmarks/nwqbench/small/boolean_satisfaction_n24.qasm.transpiled"", ",27188,17843,7303,4349,335.9248
"circuit_path: ""benchmarks/nwqbench/small/grover_search_n19.qasm.transpiled"", ",16949,11219,4488,2798,265.75638
"circuit_path: ""benchmarks/nwqbench/small/hhl_n7.qasm.transpiled"", ",2121,1845,1122,981,16.328672
"circuit_path: ""benchmarks/nwqbench/small/multiplier_n50.qasm.transpiled"", ",7435,2971,5823,1637,258.57596
"circuit_path: ""benchmarks/nwqbench/small/square_root_n21.qasm.transpiled"", ",3586,1955,2954,1693,73.23475
"circuit_path: ""benchmarks/nwqbench/small/statevector_n4.qasm.transpiled"", ",7229,5738,1500,1177,38.335995
"circuit_path: ""benchmarks/nwqbench/small/vqc_n15.qasm.transpiled"", ",1204,149,891,119,40.009323
"circuit_path: ""benchmarks/nwqbench/small/vqe_n8.qasm.transpiled"", ",309,47,178,31,3.117078
