config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",14674,5234,130.4316
"omega: 6, timeout: ""5"", ",14712,5248,249.3545
"omega: 6, timeout: ""10"", ",14735,5261,491.6814
"omega: 6, timeout: ""20"", ",14745,5268,1006.54285
"omega: 10, timeout: ""2"", ",16107,6654,200.71535
"omega: 10, timeout: ""5"", ",16937,7493,698.1545
"omega: 10, timeout: ""10"", ",16593,7136,767.0166
"omega: 10, timeout: ""20"", ",17585,8006,3808.2478
"omega: 15, timeout: ""2"", ",17481,8170,344.02597
"omega: 15, timeout: ""5"", ",17654,8281,400.73346
"omega: 15, timeout: ""10"", ",18117,8670,901.42804
"omega: 15, timeout: ""20"", ",18390,8921,2200.5115
"omega: 20, timeout: ""2"", ",16830,7541,142.97664
"omega: 20, timeout: ""5"", ",17492,8199,271.1451
"omega: 20, timeout: ""10"", ",18015,8681,496.3457
"omega: 20, timeout: ""20"", ",18211,8866,793.76074
"omega: 25, timeout: ""2"", ",16626,7261,129.28293
"omega: 25, timeout: ""5"", ",17476,8155,244.78009
"omega: 25, timeout: ""10"", ",17840,8483,455.32056
"omega: 25, timeout: ""20"", ",18072,8728,714.0029
