config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",883,93,41.107235
"omega: 6, timeout: ""5"", ",905,101,92.22907
"omega: 6, timeout: ""10"", ",933,110,182.46722
"omega: 6, timeout: ""20"", ",938,109,336.13852
"omega: 10, timeout: ""2"", ",877,92,35.321762
"omega: 10, timeout: ""5"", ",895,98,90.62611
"omega: 10, timeout: ""10"", ",912,99,176.28023
"omega: 10, timeout: ""20"", ",958,103,346.09937
"omega: 15, timeout: ""2"", ",894,97,34.32386
"omega: 15, timeout: ""5"", ",928,88,65.72097
"omega: 15, timeout: ""10"", ",991,72,156.43347
"omega: 15, timeout: ""20"", ",1175,105,428.75653
"omega: 20, timeout: ""2"", ",873,112,25.476143
"omega: 20, timeout: ""5"", ",884,107,55.461124
"omega: 20, timeout: ""10"", ",925,86,125.91417
"omega: 20, timeout: ""20"", ",1036,89,327.40878
"omega: 25, timeout: ""2"", ",870,110,26.17378
"omega: 25, timeout: ""5"", ",883,107,40.669617
"omega: 25, timeout: ""10"", ",904,95,96.10013
"omega: 25, timeout: ""20"", ",978,79,247.39594
