config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",243,117,16.873241
"omega: 6, timeout: ""5"", ",246,124,37.77721
"omega: 6, timeout: ""10"", ",246,124,68.081604
"omega: 6, timeout: ""20"", ",246,124,128.04716
"omega: 10, timeout: ""2"", ",241,122,21.111937
"omega: 10, timeout: ""5"", ",273,158,43.32671
"omega: 10, timeout: ""10"", ",282,162,103.34315
"omega: 10, timeout: ""20"", ",287,164,183.3888
"omega: 15, timeout: ""2"", ",203,90,19.299486
"omega: 15, timeout: ""5"", ",268,148,43.352753
"omega: 15, timeout: ""10"", ",276,159,83.4547
"omega: 15, timeout: ""20"", ",282,161,163.45284
"omega: 20, timeout: ""2"", ",202,92,15.443927
"omega: 20, timeout: ""5"", ",202,92,33.35441
"omega: 20, timeout: ""10"", ",204,94,63.406094
"omega: 20, timeout: ""20"", ",204,94,123.64429
"omega: 25, timeout: ""2"", ",202,88,13.265088
"omega: 25, timeout: ""5"", ",202,88,28.388592
"omega: 25, timeout: ""10"", ",202,88,53.45523
"omega: 25, timeout: ""20"", ",206,94,103.51504
