config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",17,2,26.18117
"omega: 6, timeout: ""5"", ",27,-7,44.50348
"omega: 6, timeout: ""10"", ",53,-15,125.59443
"omega: 6, timeout: ""20"", ",74,-14,306.8891
"omega: 10, timeout: ""2"", ",0,0,12.201916
"omega: 10, timeout: ""5"", ",3,0,29.88038
"omega: 10, timeout: ""10"", ",4,-1,54.824978
"omega: 10, timeout: ""20"", ",43,2,348.553
"omega: 15, timeout: ""2"", ",1,0,12.23418
"omega: 15, timeout: ""5"", ",1,0,25.195843
"omega: 15, timeout: ""10"", ",1,0,47.17407
"omega: 15, timeout: ""20"", ",8,-3,148.3426
"omega: 20, timeout: ""2"", ",0,0,12.000467
"omega: 20, timeout: ""5"", ",1,0,31.786127
"omega: 20, timeout: ""10"", ",3,-1,86.54847
"omega: 20, timeout: ""20"", ",3,-1,167.58583
"omega: 25, timeout: ""2"", ",0,0,12.375758
"omega: 25, timeout: ""5"", ",0,0,26.363873
"omega: 25, timeout: ""10"", ",0,0,46.36957
"omega: 25, timeout: ""20"", ",0,0,85.528206
