config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", omega: 200, ",180497,111623,127645,111623,101.931206
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 50, ",5319,4165,2408,4165,1.2842621
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 100, ",5319,4165,2393,4165,1.5049707
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 200, ",5319,4165,2382,4165,1.7041607
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 50, ",63392,49864,27926,49864,13.425921
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 100, ",63392,49864,27688,49864,11.439669
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 200, ",63392,49864,27626,49864,11.845035
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 50, ",629247,496914,295201,496914,108.51668
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 100, ",629247,496914,292418,496914,89.839325
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 200, ",629247,496914,291907,496914,111.36321
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 50, ",5522186,4411244,2664969,4411244,1005.6078
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 100, ",5522186,4411244,2632752,4411244,917.91516
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", omega: 200, ",5522186,4411244,2624449,4411244,1039.2128
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", omega: 50, ",8476,5971,7632,5971,2.4077404
