config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", ",75670,0,12635,0,71,4.6269817,3.7385085,971
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", ",138293,0,23791,0,84,8.005956,6.5908256,1742
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", ",262548,0,44677,0,83,13.156851,11.283267,3281
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", ",509907,0,86612,0,93,27.567995,24.0217,6352
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17/nwq_binary_welded_tree_n17.qasm.preprocessed.new"", ",262514,0,181768,0,44,61.79102,58.548306,6451
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", ",402022,0,245760,0,62,101.744774,96.34757,10711
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", ",687356,0,413974,0,66,164.92426,157.54823,17545
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", ",941438,0,565507,0,55,193.81602,186.15512,20602
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", ",8968,0,6344,0,35,2.272893,1.943963,197
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", ",27136,0,19054,0,35,6.3443456,5.7197165,610
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python/grover_n13_from_python.qasm.preprocessed.new"", ",72646,0,51343,0,37,16.823593,15.680025,1644
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python/grover_n15_from_python.qasm.preprocessed.new"", ",180497,0,128228,0,40,41.717552,39.74276,4205
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", ",5319,0,2383,0,25,0.733947,0.5232475,83
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", ",63392,0,27670,0,47,5.6404138,4.8829565,965
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", ",629247,0,291957,0,46,57.701645,53.839256,9589
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python/hhl_n13_from_python.qasm.preprocessed"", ",5522186,0,2625752,0,50,489.54,471.8195,83431
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python/shor_7_mod_15_n10_from_python.qasm.preprocessed.new"", ",8476,0,7552,0,21,1.692038,1.4620029,147
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python/shor_7_mod_15_n12_from_python.qasm.preprocessed.new"", ",34084,0,30297,0,23,5.6193585,5.3476977,559
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python/shor_7_mod_15_n14_from_python.qasm.preprocessed.new"", ",136320,0,121144,0,24,21.50854,20.87904,2296
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", ",545008,0,484376,0,27,83.56201,81.96059,8920
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", ",79574,0,53703,0,53,20.470034,19.16458,1882
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", ",186101,0,126641,0,52,54.974545,52.419895,5233
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", ",424994,0,295498,0,57,134.44957,129.36018,12813
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", ",895253,0,603700,0,54,254.04277,245.94495,24983
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5/nwq_statevector_n5.qasm.preprocessed.new"", ",31000,0,6574,0,65,2.3423812,1.6623379,432
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6/nwq_statevector_n6.qasm.preprocessed.new"", ",129827,0,28648,0,69,6.495588,5.194189,1708
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7/nwq_statevector_n7.qasm.preprocessed.new"", ",526541,0,117977,0,68,19.10538,16.931873,6571
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8/nwq_statevector_n8.qasm.preprocessed.new"", ",2175747,0,470214,0,76,69.49191,63.50254,26949
"circuit_path: ""${BENCHMARK_DIR}/vqe_n12_from_python/vqe_n12_from_python.qasm.preprocessed.new"", ",11022,0,3371,0,89,1.6009738,1.0148636,222
"circuit_path: ""${BENCHMARK_DIR}/vqe_n16_from_python/vqe_n16_from_python.qasm.preprocessed.new"", ",22374,0,7547,0,70,2.121286,1.4606136,380
"circuit_path: ""${BENCHMARK_DIR}/vqe_n20_from_python/vqe_n20_from_python.qasm.preprocessed.new"", ",38462,0,14119,0,52,2.7912936,2.09161,611
"circuit_path: ""${BENCHMARK_DIR}/vqe_n24_from_python/vqe_n24_from_python.qasm.preprocessed.new"", ",59798,0,23581,0,66,4.2339654,3.31945,967
