config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", omega: 50, layout: One, ",402022,402022,276668,402022,15.382927
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", omega: 100, layout: Dense, ",402022,402022,268086,402022,15.28488
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", omega: 100, layout: One, ",402022,402022,268086,402022,15.144251
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", omega: 200, layout: Dense, ",402022,402022,248681,402022,25.15259
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21/nwq_binary_welded_tree_n21.qasm.preprocessed.new"", omega: 200, layout: One, ",402022,402022,248681,402022,25.692799
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 50, layout: Dense, ",687356,687356,446392,687356,22.60882
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 50, layout: One, ",687356,687356,446392,687356,22.1149
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 100, layout: Dense, ",687356,687356,430699,687356,23.347496
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 100, layout: One, ",687356,687356,430699,687356,23.749792
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 200, layout: Dense, ",687356,687356,415838,687356,41.464043
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25/nwq_binary_welded_tree_n25.qasm.preprocessed.new"", omega: 200, layout: One, ",687356,687356,415838,687356,42.51569
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 50, layout: Dense, ",941438,941438,608154,941438,31.043146
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 50, layout: One, ",941438,941438,608154,941438,29.696907
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 100, layout: Dense, ",941438,941438,582191,941438,33.25671
