config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 50, layout: Dense, ",75670,75670,12829,75670,1.6472596
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 50, layout: One, ",75670,75670,12829,75670,1.6687043
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 100, layout: Dense, ",75670,75670,12837,75670,2.2692628
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 100, layout: One, ",75670,75670,12837,75670,1.9872453
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 200, layout: Dense, ",75670,75670,12635,75670,3.514646
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28/nwq_boolean_satisfaction_n28.qasm.preprocessed.new"", omega: 200, layout: One, ",75670,75670,12635,75670,3.7077973
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 50, layout: Dense, ",138293,138293,23580,138293,2.2910926
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 50, layout: One, ",138293,138293,23580,138293,2.3006816
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 100, layout: Dense, ",138293,138293,23434,138293,2.980634
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 100, layout: One, ",138293,138293,23434,138293,3.2013886
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 200, layout: Dense, ",138293,138293,23791,138293,5.4229927
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30/nwq_boolean_satisfaction_n30.qasm.preprocessed.new"", omega: 200, layout: One, ",138293,138293,23791,138293,5.168907
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 50, layout: Dense, ",262548,262548,45175,262548,2.989194
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 50, layout: One, ",262548,262548,45175,262548,3.0038266
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 100, layout: Dense, ",262548,262548,44802,262548,3.310177
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 100, layout: One, ",262548,262548,44802,262548,3.4409013
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 200, layout: Dense, ",262548,262548,44677,262548,5.3987813
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32/nwq_boolean_satisfaction_n32.qasm.preprocessed.new"", omega: 200, layout: One, ",262548,262548,44677,262548,5.732334
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 50, layout: Dense, ",509907,509907,87986,509907,4.5713725
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 50, layout: One, ",509907,509907,87986,509907,4.530466
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 100, layout: Dense, ",509907,509907,87109,509907,4.550117
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 100, layout: One, ",509907,509907,87109,509907,4.529435
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 200, layout: Dense, ",509907,509907,86612,509907,7.0146136
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34/nwq_boolean_satisfaction_n34.qasm.preprocessed.new"", omega: 200, layout: One, ",509907,509907,86612,509907,7.295991
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17/nwq_binary_welded_tree_n17.qasm.preprocessed.new"", omega: 50, layout: Dense, ",262514,262514,201171,262514,3.1633525
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17/nwq_binary_welded_tree_n17.qasm.preprocessed.new"", omega: 50, layout: One, ",262514,262514,201171,262514,3.2718232
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17/nwq_binary_welded_tree_n17.qasm.preprocessed.new"", omega: 100, layout: Dense, ",262514,262514,192568,262514,3.9826286
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17/nwq_binary_welded_tree_n17.qasm.preprocessed.new"", omega: 100, layout: One, ",262514,262514,192568,262514,4.0163765
