config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1800, ",585234,0,338639,0,40,34.827087,33.01566,1060
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 2000, ",585234,0,338649,0,36,34.95965,33.50801,939
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 100, ",1306507,0,907954,0,43,11.149636,7.2388277,43958
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 200, ",1306507,0,811735,0,56,17.715496,12.335572,29143
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 300, ",1306507,0,766383,0,58,23.408867,18.699131,19154
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 400, ",1306507,0,759861,0,50,25.318245,21.79721,12505
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 500, ",1306507,0,759644,0,46,27.891438,24.892315,9248
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 600, ",1306507,0,758224,0,43,30.855644,27.840471,7522
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 700, ",1306507,0,757622,0,42,34.281376,31.302034,6303
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 800, ",1306507,0,757222,0,46,37.51059,34.55927,5496
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 900, ",1306507,0,757169,0,42,39.60793,36.896175,4830
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1000, ",1306507,0,756618,0,44,42.14628,39.356487,4369
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1200, ",1306507,0,756798,0,40,45.015877,42.3046,3559
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1400, ",1306507,0,756544,0,46,53.829037,50.875824,3098
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1600, ",1306507,0,755202,0,40,51.63758,49.165813,2593
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1800, ",1306507,0,756248,0,43,59.12428,56.470722,2356
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 2000, ",1306507,0,755764,0,42,64.02673,61.447166,2126
