config,reduced_gates,reduced_depth,time
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",1123,1089,6.3628225
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",1168,1139,7.588892
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",1239,1211,12.874543
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",1245,1199,20.397087
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1259,1205,38.86738
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",1261,1206,89.56572
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",10,10,5.439641
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",513,511,10.22991
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",1108,1092,16.296843
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",1167,1114,25.46077
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",1165,1123,44.851524
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",1242,1214,101.56731
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",795,793,6.3998337
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",1088,1070,9.555489
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",1218,1189,13.536313
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",1244,1218,18.878193
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1254,1222,34.83508
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",1322,1285,74.78023
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,4.6039457
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",38,38,6.8424454
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",777,776,15.230503
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",1131,1108,22.281446
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",1214,1188,33.950993
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",1257,1231,69.60824
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",503,503,8.449943
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",930,928,7.5819173
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",1147,1122,14.170545
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",1227,1207,26.768068
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1233,1202,37.404537
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",1292,1252,85.53591
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.92894
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,4.3436885
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",334,334,18.319069
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",858,856,33.424896
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",1107,1095,42.93118
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",1223,1201,75.19327
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",48,48,4.7879725
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",763,763,12.853434
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",1040,1028,41.578037
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",1146,1129,23.334112
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1210,1158,45.286186
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",1277,1224,86.40173
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,4.407231
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,4.6942344
