config,reduced_gates,reduced_depth,time
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",826,81,7.0601964
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",856,82,8.438067
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",861,74,13.914707
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",862,70,23.212025
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",882,90,41.626938
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",906,103,96.2721
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",204,14,6.542285
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",681,71,9.598892
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",830,84,15.989824
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",854,76,23.711124
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",859,76,40.586483
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",869,71,99.88861
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",803,98,7.123976
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",845,104,8.485841
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",868,102,13.503497
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",875,92,20.184761
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",878,92,34.873314
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",898,98,90.68737
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,5.677975
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",276,32,8.144933
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",803,98,15.94299
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",858,104,21.428524
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",866,100,34.673115
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",876,94,80.08287
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",676,87,7.749745
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",845,111,8.698402
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",869,110,11.267954
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",879,101,17.016666
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",888,98,25.723015
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",921,82,61.55441
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,4.698393
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",10,0,5.6450253
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",810,110,18.631865
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",848,109,23.1918
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",868,109,24.54314
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",876,104,55.501244
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",85,4,6.381925
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",812,109,10.550492
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",846,111,11.3379965
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",866,112,14.1426935
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",869,107,21.935577
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",882,107,44.546658
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,9.041545
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,9.920553
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,10.153344
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",785,108,33.11282
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",849,113,29.059568
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",861,109,45.107033
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,4.550708
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",68,6,7.1292305
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",838,115,19.126844
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",842,116,18.397959
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",857,113,26.415937
