config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 50, ",8968,0,6637,0,41,0.74400926,0.30141458,952
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 100, ",8968,0,6416,0,41,0.822369,0.38580462,414
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 200, ",8968,0,6342,0,38,1.0896571,0.7870144,195
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 400, ",8968,0,6327,0,25,1.757431,1.5588435,81
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 800, ",8968,0,6331,0,18,3.9711366,3.8157945,38
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 50, ",27136,0,20732,0,39,1.0933233,0.5282188,2639
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 100, ",27136,0,19451,0,40,1.1615961,0.52653885,1250
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 200, ",27136,0,19098,0,34,1.4271,0.84559053,590
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 400, ",27136,0,19004,0,29,2.4658284,2.014603,260
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 800, ",27136,0,18999,0,30,7.751838,7.3432775,118
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 50, ",72646,0,56479,0,41,2.248395,1.194313,7225
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 100, ",72646,0,52784,0,43,1.9002979,0.8920442,3531
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 200, ",72646,0,51392,0,35,2.1389227,1.2395707,1606
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 400, ",72646,0,51003,0,28,3.0201263,2.3263223,700
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 800, ",72646,0,51032,0,29,8.304201,7.7054777,319
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", omega: 50, ",180497,0,145982,0,40,4.058947,2.3949068,15980
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", omega: 100, ",180497,0,133229,0,46,3.201458,1.7251872,8405
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", omega: 200, ",180497,0,128327,0,39,3.440464,2.1330311,3867
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", omega: 400, ",180497,0,127194,0,38,5.646779,4.426872,1796
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", omega: 800, ",180497,0,127149,0,33,11.012182,10.00796,818
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", omega: 50, ",5796,0,2421,0,40,0.4821491,0.22573522,358
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", omega: 100, ",5796,0,2404,0,39,0.49893945,0.28016317,186
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", omega: 200, ",5796,0,2384,0,40,0.74308616,0.50067335,109
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", omega: 400, ",5796,0,2381,0,31,0.90345883,0.74146587,51
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", omega: 800, ",5796,0,2372,0,20,1.2207873,1.0861455,24
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", omega: 50, ",68558,0,28160,0,59,1.6740215,0.8246645,4312
