config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,0,12351,0,94,4.33984,3.864804,968
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,0,22714,0,108,7.2367487,6.5634475,1737
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,0,43541,0,120,11.734651,10.9784565,3238
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,0,84942,0,130,21.614458,20.350977,6303
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,0,200001,0,71,23.6971,22.127571,8337
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,0,269030,0,90,45.732285,43.24434,14691
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,0,446257,0,104,74.31951,70.502235,23431
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,0,599351,0,85,91.88853,87.9589,29387
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,0,6342,0,38,0.9377728,0.8021206,195
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,0,19098,0,34,1.9273152,1.6975834,590
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,0,51392,0,35,4.7426686,4.365788,1606
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,0,128327,0,39,10.989826,10.39041,3867
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,0,2384,0,40,0.6177182,0.5020052,109
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,0,27790,0,52,2.485389,2.209858,1021
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,0,295700,0,55,21.146412,19.98565,10576
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,0,2623660,0,63,177.19772,170.08472,90158
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,0,7554,0,18,0.54208046,0.4809042,135
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,0,30257,0,17,1.1421208,1.0622369,459
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,0,121134,0,25,4.817741,4.5659146,2212
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,0,484259,0,24,18.246305,17.654861,8848
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,0,65751,0,51,8.0421095,7.497555,2484
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,0,155258,0,55,17.660942,16.777061,5782
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,0,358281,0,55,38.4467,36.87762,12987
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,0,811735,0,56,85.288635,82.29231,29143
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,0,6550,0,76,1.1444912,0.958428,427
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,0,28162,0,96,3.2974567,2.8328433,1774
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,0,115786,0,86,9.78311,8.997704,6737
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,0,462699,0,96,35.919987,33.596462,26719
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,0,10488,0,53,0.77429485,0.63320446,452
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,0,18433,0,56,1.1327561,0.9159123,747
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,0,29515,0,64,1.721857,1.3906,1154
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,0,44305,0,51,2.0473812,1.7264576,1642
