config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",756,754,22.300993
"omega: 6, timeout: ""5"", ",756,754,44.121063
"omega: 6, timeout: ""10"", ",756,754,78.13462
"omega: 6, timeout: ""20"", ",756,754,134.3262
"omega: 10, timeout: ""2"", ",756,756,25.707272
"omega: 10, timeout: ""5"", ",756,756,56.76484
"omega: 10, timeout: ""10"", ",756,756,105.45443
"omega: 10, timeout: ""20"", ",756,756,205.42365
"omega: 15, timeout: ""2"", ",756,756,17.68537
"omega: 15, timeout: ""5"", ",756,756,39.216545
"omega: 15, timeout: ""10"", ",756,756,73.94134
"omega: 15, timeout: ""20"", ",756,756,143.94127
"omega: 20, timeout: ""2"", ",756,756,19.875042
"omega: 20, timeout: ""5"", ",756,756,44.281868
"omega: 20, timeout: ""10"", ",756,756,84.00408
"omega: 20, timeout: ""20"", ",756,756,164.33667
"omega: 25, timeout: ""2"", ",756,756,18.145338
"omega: 25, timeout: ""5"", ",756,756,28.964943
"omega: 25, timeout: ""10"", ",756,756,54.073967
"omega: 25, timeout: ""20"", ",756,756,104.31089
