config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",11629,3979,96.25645
"omega: 6, timeout: ""5"", ",11675,4007,237.6158
"omega: 6, timeout: ""10"", ",11698,4004,413.5659
"omega: 6, timeout: ""20"", ",11761,4058,954.54474
"omega: 10, timeout: ""2"", ",13115,5474,183.6905
"omega: 10, timeout: ""5"", ",13662,5975,495.17212
"omega: 10, timeout: ""10"", ",13884,6100,865.5949
"omega: 10, timeout: ""20"", ",14047,6273,1437.7191
"omega: 15, timeout: ""2"", ",14273,6678,267.80856
"omega: 15, timeout: ""5"", ",14934,7310,712.59985
"omega: 15, timeout: ""10"", ",15341,7649,1068.8589
"omega: 15, timeout: ""20"", ",15650,7943,2061.228
"omega: 20, timeout: ""2"", ",13706,6100,142.86723
"omega: 20, timeout: ""5"", ",14689,7125,273.28397
"omega: 20, timeout: ""10"", ",14868,7303,462.79135
"omega: 20, timeout: ""20"", ",15248,7607,791.9097
"omega: 25, timeout: ""2"", ",13702,6043,170.20134
"omega: 25, timeout: ""5"", ",14451,6882,239.87297
"omega: 25, timeout: ""10"", ",14633,7075,341.98816
"omega: 25, timeout: ""20"", ",15005,7409,652.9095
